iteration,Model,C_AI_MSE,C_AI_adj_R2,C_self_MSE,C_self_adj_R2,Mean_MSE,Mean_adj_R2
1,ORIG-BASE,0.0013841871450827885,0.8205592976871858,0.0018003139519992759,0.3368721844344944,0.0015922505485410322,0.5787157410608401
1,PHYS-BASE,0.0013841847463134517,0.8205596086544247,0.0018003084640056133,0.33687420588261197,0.0015922466051595326,0.5787169072685183
1,PHYS-BASE+MOD,0.0013265948625907006,0.8280253398729485,0.0017908127570963133,0.34037185548590565,0.001558703809843507,0.5841985976794271
1,PHYS-BASE+MOD+A,0.0013265891087858772,0.8280260857740949,0.001790807444747007,0.3403738122371641,0.001558698276766442,0.5841999490056295
1,PHYS-BASE+MOD+A+ASYM,0.0013265891087858772,0.8280260857740949,0.0014268101936036654,0.4744485950018481,0.0013766996511947712,0.6512373403879714
1,PHYS-BASE+MOD+A+ALIGN,0.0012787655039861881,0.8342257541230401,0.0017009615412323217,0.37346766104561135,0.001489863522609255,0.6038467075843257
1,PHYS-FULL,0.0012787655039861881,0.8342257541230401,0.0012767247292647047,0.5297310894827161,0.0012777451166254465,0.6819784218028782
2,ORIG-BASE,0.0014441802740845992,0.7395888510664181,0.0010693352190515267,0.47758909678079287,0.0012567577465680629,0.6085889739236054
2,PHYS-BASE,0.001444169398154517,0.7395908121882389,0.001069330103202665,0.47759159606743085,0.001256749750678591,0.6085912041278349
2,PHYS-BASE+MOD,0.0012755059846014257,0.7700037973913918,0.001076227932553683,0.4742217442218014,0.0011758669585775544,0.6221127708065965
2,PHYS-BASE+MOD+A,0.0012755004696993956,0.7700047918253968,0.001076306017777979,0.474183596621474,0.0011759032437386873,0.6220941942234355
2,PHYS-BASE+MOD+A+ASYM,0.0012755004696993956,0.7700047918253968,0.0008747770096799312,0.5726381778132854,0.0010751387396896635,0.6713214848193412
2,PHYS-BASE+MOD+A+ALIGN,0.0011677559445306507,0.789433028101703,0.000917529266770377,0.5517520750801411,0.0010426426056505138,0.6705925515909221
2,PHYS-FULL,0.0011677559445306507,0.789433028101703,0.0006810032239739692,0.6673040380667659,0.0009243795842523099,0.7283685330842344
3,ORIG-BASE,0.001393115858971453,0.7852189201670356,0.0013161467737466792,0.4134978346399337,0.0013546313163590661,0.5993583774034847
3,PHYS-BASE,0.0013931145360487436,0.7852191241262155,0.0013161491212101562,0.41349678856176086,0.00135463182862945,0.5993579563439881
3,PHYS-BASE+MOD,0.0012777506796087554,0.8030051348878542,0.0013201983835014184,0.41169235371504875,0.0012989745315550869,0.6073487443014515
3,PHYS-BASE+MOD+A,0.0012777099792978133,0.803011409783569,0.0013202082723838848,0.4116879470249325,0.0012989591258408492,0.6073496784042507
3,PHYS-BASE+MOD+A+ASYM,0.0012777099792978133,0.803011409783569,0.0011596916542072403,0.4832174648680517,0.0012187008167525268,0.6431144373258104
3,PHYS-BASE+MOD+A+ALIGN,0.0011963691610013746,0.8155519811048262,0.0012674238834929229,0.435209760092656,0.0012318965222471489,0.6253808705987411
3,PHYS-FULL,0.0011963691610013746,0.8155519811048262,0.001047565088486041,0.5331833766505689,0.0011219671247437077,0.6743676788776976
4,ORIG-BASE,0.0017882272819877555,0.7323789482764573,0.0012849883475979863,0.4158788640474155,0.001536607814792871,0.5741289061619363
4,PHYS-BASE,0.0017882271065053801,0.7323789745386546,0.0012849869209017116,0.4158795125851631,0.0015366070137035458,0.5741292435619089
4,PHYS-BASE+MOD,0.0019245536652254024,0.7119767262394625,0.0012607892056237453,0.42687914301920105,0.001592671435424574,0.5694279346293318
4,PHYS-BASE+MOD+A,0.001924553469621654,0.7119767555129679,0.0012607837933451777,0.4268816032954448,0.0015926686314834157,0.5694291794042063
4,PHYS-BASE+MOD+A+ASYM,0.001924553469621654,0.7119767555129679,0.0008899022602402715,0.5954743713357433,0.0014072278649309628,0.6537255634243556
4,PHYS-BASE+MOD+A+ALIGN,0.0017267453691616574,0.7415801579539015,0.0010467025400989676,0.524197182122352,0.0013867239546303126,0.6328886700381268
4,PHYS-FULL,0.0017267453691616574,0.7415801579539015,0.00064719509107275,0.7058025214882162,0.0011869702301172038,0.7236913397210589
5,ORIG-BASE,0.001564846839739806,0.7886550072079185,0.0016726446633037054,0.34862829144105845,0.0016187457515217558,0.5686416493244885
5,PHYS-BASE,0.0015648320266707927,0.7886570078305253,0.0016726726644131764,0.34861738707450773,0.0016187523455419846,0.5686371974525165
5,PHYS-BASE+MOD,0.001389503647894456,0.8123364977382364,0.0016619856215327278,0.35277920191372836,0.001525744634713592,0.5825578498259824
5,PHYS-BASE+MOD+A,0.0013894712714669526,0.8123408704318851,0.001661976866012622,0.35278261154293156,0.0015257240687397873,0.5825617409874083
5,PHYS-BASE+MOD+A+ASYM,0.0013894712714669526,0.8123408704318851,0.001260139010419689,0.5092688134862934,0.001324805140943321,0.6608048419590893
5,PHYS-BASE+MOD+A+ALIGN,0.0012992620485779446,0.8245243423711751,0.0015531680263355626,0.3951556279771419,0.0014262150374567536,0.6098399851741585
5,PHYS-FULL,0.0012992620485779446,0.8245243423711751,0.0011488899555231248,0.552592113738491,0.0012240760020505348,0.688558228054833
6,ORIG-BASE,0.002134749645324469,0.6999796844900976,0.0017214371369132244,0.3382936141471704,0.0019280933911188466,0.519136649318634
6,PHYS-BASE,0.0021347360124309473,0.6999816004735596,0.0017216083656437205,0.3382277952206577,0.0019281721890373339,0.5191046978471087
6,PHYS-BASE+MOD,0.0020657489849021378,0.7096771213561208,0.0017090323523568315,0.3430619120885129,0.0018873906686294848,0.5263695167223168
6,PHYS-BASE+MOD+A,0.0020657493656419156,0.7096770678464888,0.0017090228193460378,0.343065576500058,0.0018873860924939767,0.5263713221732733
6,PHYS-BASE+MOD+A+ASYM,0.0020657493656419156,0.7096770678464888,0.0013196214104908843,0.4927482999491295,0.0016926853880664,0.6012126838978091
6,PHYS-BASE+MOD+A+ALIGN,0.0018407384916808295,0.7413003701605656,0.0012089012984544678,0.5353082073693971,0.0015248198950676486,0.6383042887649814
6,PHYS-FULL,0.0018407384916808295,0.7413003701605656,0.0008785996089772085,0.6622734810342805,0.001359669050329019,0.7017869255974231
7,ORIG-BASE,0.001892357048323994,0.7390951508960051,0.0013582907101494651,0.4144676717814715,0.0016253238792367296,0.5767814113387383
