pid,condition,gamma_res_self,gamma_res_ai,align_count,aligned_self_abs_delta,nonaligned_self_abs_delta,aligned_minus_nonaligned_self_abs_delta,self_mse,ai_mse
1,1,3.66865730743043e-10,0.32057460949513217,3.0,0.0,0.0,0.0,1.038454145235327e-17,1.1995657211972514e-10
2,1,2.2953232561008963,0.5900348358270676,4.0,0.0625,0.038461538461538464,0.024038461538461536,0.00406769360954531,0.020306996353506305
3,1,2.479792755805039,0.2059020315642014,5.0,0.05,0.03,0.020000000000000004,0.0034873288978625595,0.007130403304775305
4,1,0.22127295320010348,0.5047350153940025,3.0,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.0013330634459738657,0.0022564157192081144
5,1,0.5000386906429259,3.809626926745253e-21,3.0,0.08333333333333333,0.1574074074074074,-0.07407407407407408,0.01892166508609794,0.014552940903609061
6,1,3.256688392781513,0.020720789558735124,6.0,0.0,0.10416666666666667,-0.10416666666666667,0.00895009470111049,0.0186211574302922
7,1,0.1,1e-10,0.0,,0.05,,0.0025452042589666963,0.03160226794156943
8,1,0.20177144598298574,0.8979337548190878,5.0,0.1,0.07,0.03,0.006265477498130935,0.0105894363536248
9,1,5.228073483960545e-09,1.0501132553605066e-13,4.0,0.0,0.0,0.0,1.7940304750565438e-17,0.005515144216526929
10,1,7.018355407490136,0.29581582457485556,5.0,0.15,0.16,-0.010000000000000009,0.029395685075963313,0.0209995004452551
11,1,2.171577970698672,0.16105630433629675,4.0,0.125,0.07692307692307693,0.04807692307692307,0.009394680717246593,0.004935681353957427
12,1,3.966875725864453e-14,9.999999999999666,5.0,0.25,0.11,0.14,0.021798644870705233,0.0036110164389214976
13,1,0.470161712090177,8.034344503317749e-27,6.0,0.25,0.16666666666666666,0.08333333333333334,0.0025810566848070496,0.012732001085557602
14,1,0.022918013027621205,3.7906524706264775,4.0,0.0,0.019230769230769232,-0.019230769230769232,0.0013408863074195023,0.004654113854702549
15,1,1.56793789419405,0.3615139741702536,6.0,0.16666666666666666,0.13541666666666666,0.03125,0.0644491442446979,0.03673992493130295
16,1,2.8918407756708158,0.3543093198834406,7.0,0.17857142857142858,0.07608695652173914,0.10248447204968944,0.012966829388920536,0.008245602151668842
17,1,8.565739571954521e-05,6.888648922330821e-13,5.0,0.0,0.0,0.0,1.833838896456727e-10,1.96538344956617e-10
18,1,1.375928768347253,0.7023151218413692,3.0,0.5833333333333334,0.28703703703703703,0.29629629629629634,0.007737120437744844,0.06732137829009469
19,1,1.8805336061224942,0.21020295962714886,5.0,0.15,0.1,0.04999999999999999,0.009583470306297253,0.014377499142146309
20,1,9.72867162866316e-11,8.224778223601703e-21,5.0,0.0,0.02,-0.02,0.0015860191570821918,0.022638686081490188
21,1,0.07809608622116068,0.6730400216440153,2.0,0.0,0.03571428571428571,-0.03571428571428571,0.0041545091954942725,0.01996398931930959
22,1,1.4486016608850795e-23,4.18648616400973e-34,5.0,0.1,0.08,0.020000000000000004,0.006762328497396635,0.00643417223093021
23,1,0.717554826000365,0.324209100571567,3.0,0.5,0.26851851851851855,0.23148148148148145,0.02474439699231553,0.025598445871870594
24,1,0.7701308829978345,0.15542356086410858,2.0,0.25,0.10714285714285714,0.14285714285714285,0.011902225013798551,0.014630659790856185
25,1,0.5494736844834639,0.00952669288107787,5.0,0.15,0.13,0.01999999999999999,0.018398675143631266,0.0184142988496666
26,1,0.6274238611623865,1.5134071820367465e-17,3.0,0.16666666666666666,0.09259259259259259,0.07407407407407407,0.010618955023638776,0.014641628488759011
27,1,3.723280735801573,1.0000000000000217e-10,1.0,0.0,0.0603448275862069,-0.0603448275862069,0.008228191363544702,0.029068570473219518
28,1,2.3785122505153656e-18,2.951887337766437e-14,4.0,0.0625,0.028846153846153848,0.03365384615384615,0.0026347469415530208,0.007306967276344525
