pid,condition,omega2_ai,omega2_self,reject_positive_count,ai_mse,self_mse
1,1,0.6596747426967045,0.49991606406605005,2,1.1995657211972514e-10,1.038454145235327e-17
2,1,0.9999327015177943,3.256291898312558e-05,0,0.020306996353506305,0.00406769360954531
3,1,0.2842225933314413,0.10406054217353414,3,0.007130403304775305,0.0034873288978625595
4,1,0.5877114427957305,0.6390634593901902,1,0.0022564157192081144,0.0013330634459738657
5,1,0.7357905858740359,0.9995247793960871,0,0.014552940903609061,0.01892166508609794
6,1,0.33614104468518075,0.07090955987523884,6,0.0186211574302922,0.00895009470111049
7,1,0.9231953317973307,4.644977047807419e-05,0,0.03160226794156943,0.0025452042589666963
8,1,0.43159689126649703,0.19745380163675072,2,0.0105894363536248,0.006265477498130935
9,1,6.568428440263503e-16,0.4998936780350057,2,0.005515144216526929,1.7940304750565438e-17
10,1,0.6282016267193439,0.24642846089686113,3,0.0209995004452551,0.029395685075963313
11,1,0.19931339175094218,0.5434720661454729,2,0.004935681353957427,0.009394680717246593
12,1,0.03330812973359697,0.39360499009547906,2,0.0036110164389214976,0.021798644870705233
13,1,0.9999999763992058,0.3218185344507554,6,0.012732001085557602,0.0025810566848070496
14,1,0.9972363673309099,0.5930518669815921,1,0.004654113854702549,0.0013408863074195023
15,1,0.002579067467505357,0.9998018332134677,0,0.03673992493130295,0.0644491442446979
16,1,0.22040158894636358,0.14321499560617754,3,0.008245602151668842,0.012966829388920536
17,1,0.44436963764857007,0.00017907336144269768,5,1.96538344956617e-10,1.833838896456727e-10
18,1,4.005350137758811e-09,0.5839548692207677,3,0.06732137829009469,0.007737120437744844
19,1,0.6266773599938013,0.12473706049048702,2,0.014377499142146309,0.009583470306297253
20,1,0.6115821024242526,0.44876980730221405,2,0.022638686081490188,0.0015860191570821918
21,1,0.9998635970164991,0.14388462693390813,0,0.01996398931930959,0.0041545091954942725
22,1,0.6634261151115765,0.3266261312021272,6,0.00643417223093021,0.006762328497396635
23,1,0.06179330419920943,0.31821669687382903,2,0.025598445871870594,0.02474439699231553
24,1,0.3998468767779987,0.9999999762330387,0,0.014630659790856185,0.011902225013798551
25,1,0.0005340894297735315,0.20040948868574535,0,0.0184142988496666,0.018398675143631266
26,1,0.35197666185703014,0.5130747019139467,3,0.014641628488759011,0.010618955023638776
27,1,0.5169058701675588,0.9999998489956567,0,0.029068570473219518,0.008228191363544702
28,1,0.9999999999999999,0.7304326034873255,3,0.007306967276344525,0.0026347469415530208
29,1,1.3131837399882054e-10,0.006361543897607348,4,0.0033787633891615067,0.002979102674073261
30,1,5.534709767342847e-07,0.892883728584524,1,0.0016145988048287345,0.011772070495954056
31,1,0.9998455301358676,0.4592240053314891,0,0.015027320334543017,0.02199343495956781
32,1,3.593083731578961e-05,0.018309118382803802,0,0.011789123738041052,0.016443235729398282
33,1,0.20267583680042117,0.4577055547947228,1,0.008541101662875293,0.019466313950377987
34,1,5.923463976209575e-06,0.994999999999996,0,0.05598295040155945,0.03391437129758571
35,1,0.36112787194086055,0.5751456140449052,10,0.007978468307814979,0.0013951986477101874
36,1,0.45184543659212123,0.4343070503969968,2,0.02250383344995242,0.023859493228858716
37,1,8.474484234751137e-22,0.37014287698311354,7,0.028496127547464743,0.022176560525400905
38,1,0.9999999999999999,0.44792972736475317,1,0.019072881492214196,0.005219325286378606
39,1,0.9999999999999999,0.9999999999999999,3,0.01069494870215843,0.008888628742316277
40,1,0.5998521110782727,0.4994157263863535,6,0.01157310561810519,0.008736423856947536
41,1,0.0007610750462560698,0.0049999999999963485,0,0.024626298239768696,0.028525490758035208
42,1,0.7743650847645223,0.9999999999999999,1,0.022056824514094953,0.04069255464605623
