channel,participant_index,trial,align_count,improvement,empirical_abs_delta
AI channel,20,1,2,0.027262770508885148,0.25
AI channel,24,1,2,0.02289447039504966,0.25
AI channel,36,2,2,-0.0252174413958538,0.0
AI channel,46,2,2,-0.02930860940253599,0.25
AI channel,0,3,17,-0.026915274609272677,0.0
AI channel,1,3,17,0.027831035891442202,0.25
AI channel,5,3,17,-0.0015981282472894986,0.25
AI channel,7,3,17,0.018202933282363776,0.0
AI channel,11,3,17,0.02821679186006687,0.0
AI channel,12,3,17,0.01995071734158471,0.0
AI channel,15,3,17,-0.027831035891442202,0.0
AI channel,23,3,17,-0.018202933282363776,0.0
AI channel,25,3,17,-0.012861955104463196,0.25
AI channel,28,3,17,-0.019691163819955504,0.0
AI channel,30,3,17,0.022294101289045964,0.25
AI channel,34,3,17,-0.02378233182663758,0.0
AI channel,36,3,17,-0.03708870922648644,0.0
AI channel,38,3,17,-0.024255068468494456,0.0
AI channel,40,3,17,-0.02282410660259071,0.0
AI channel,42,3,17,-0.02378233182663758,0.0
AI channel,49,3,17,-0.028789261115488962,0.0
AI channel,92,4,1,-0.038450398987075585,0.0
AI channel,0,5,32,0.023779604832058876,0.0
AI channel,2,5,32,0.019675353054464217,0.25
AI channel,3,5,32,0.019887439006539442,0.0
AI channel,5,5,32,-0.07326631819810814,0.0
AI channel,7,5,32,0.020614438911313537,0.0
AI channel,8,5,32,-0.02725830275696295,0.25
AI channel,9,5,32,0.015712728957607003,0.0
AI channel,10,5,32,-0.023714468952561907,0.0
AI channel,11,5,32,-0.04044494884724559,0.25
AI channel,12,5,32,0.001106025353089568,0.0
AI channel,14,5,32,0.05201147174338738,0.25
AI channel,15,5,32,0.03257880300312588,0.25
AI channel,16,5,32,-0.024233107511293372,0.0
AI channel,18,5,32,0.057825263771325575,0.25
AI channel,21,5,32,0.02385006310339699,0.25
AI channel,22,5,32,0.028272223409391062,0.25
AI channel,24,5,32,0.022775576883534265,0.5
AI channel,25,5,32,0.0025162157205412816,0.25
AI channel,27,5,32,0.019887439006539442,0.0
AI channel,28,5,32,-0.026712211619934312,0.0
AI channel,30,5,32,0.028999223314165046,0.25
AI channel,32,5,32,-0.005035336397086532,0.5
AI channel,34,5,32,0.023188881263956795,0.25
AI channel,36,5,32,-0.031485404388703286,0.25
AI channel,39,5,32,0.025933424000960548,0.25
AI channel,40,5,32,-0.024577063008170863,0.25
AI channel,43,5,32,-0.03075624052792081,0.25
AI channel,45,5,32,0.03478109508431981,0.0
AI channel,46,5,32,-0.034800373398638396,0.25
AI channel,47,5,32,-0.019675353054464217,0.0
AI channel,48,5,32,0.00426700342452635,0.25
AI channel,49,5,32,-0.03544467612569613,0.0
AI channel,53,7,8,0.006189332911107626,0.0
AI channel,56,7,8,-0.013798834029908169,0.25
AI channel,59,7,8,-0.015384776938532851,0.25
AI channel,65,7,8,0.005749261876926648,0.25
AI channel,68,7,8,-0.009216320523154575,0.0
AI channel,69,7,8,-0.002752300902498672,0.0
AI channel,79,7,8,-0.01892927576870751,0.0
AI channel,92,7,8,-0.0342248970742528,0.25
AI channel,0,8,41,0.05079867211735323,0.0
AI channel,2,8,41,0.01933681144638555,0.0
AI channel,3,8,41,0.002044348417802655,0.0
AI channel,4,8,41,0.011941884173695017,0.0
AI channel,5,8,41,-0.05803071913446589,0.0
AI channel,7,8,41,0.03353342716634544,0.25
AI channel,8,8,41,-0.03850467282974701,0.0
AI channel,9,8,41,0.02186033537544707,0.0
AI channel,10,8,41,0.025455746735069007,0.0
AI channel,11,8,41,0.04290583426396244,0.0
AI channel,12,8,41,-0.04015859056039639,0.0
AI channel,13,8,41,-0.03473312843893095,0.0
AI channel,14,8,41,-0.04685392158262336,0.0
AI channel,15,8,41,0.021217408294409323,0.25
AI channel,16,8,41,-0.017993651230051144,0.0
AI channel,17,8,41,-0.07573089862037019,0.0
AI channel,20,8,41,0.035832893944147015,0.25
AI channel,21,8,41,-0.03174944587429207,0.0
AI channel,22,8,41,0.02984129409112035,0.25
AI channel,23,8,41,0.020492976342750158,0.25
AI channel,24,8,41,-0.00044739987158393113,0.5
AI channel,25,8,41,-0.010031001574973941,0.0
AI channel,27,8,41,0.006172441554601837,0.25
