channel,trial,align_count,baseline_abs_error,full_abs_error,improvement,empirical_abs_delta
AI channel,1,2,0.1860517658569958,0.16097314540502827,0.025078620451967515,0.25
AI channel,2,2,0.025669741545924607,0.05293276694511939,-0.027263025399194785,0.125
AI channel,3,17,0.014699982367968212,0.047633256697733106,-0.032933274329764894,0.058823529411764705
AI channel,4,1,0.2715100598533138,0.30996045884038936,-0.038450398987075585,0.0
AI channel,5,32,0.0507206314284514,0.026530337808591153,0.024190293619860248,0.1640625
AI channel,7,8,0.10975022079803387,0.12438931289256572,-0.014639092094531847,0.125
AI channel,8,41,0.022232223128655138,0.002250276170905785,0.019981946957749352,0.10365853658536585
AI channel,9,6,0.09980573222997197,0.12864248929474825,-0.028836757064776286,0.3333333333333333
AI channel,11,4,0.16798142232286917,0.14875881903162014,0.01922260329124903,0.1875
AI channel,12,3,0.03529601453651854,0.05581695490793703,-0.020520940371418495,0.0
AI channel,13,11,0.031188992395744353,0.00021419405105049805,0.030974798344693855,0.13636363636363635
AI channel,14,3,0.055214423460136164,0.01650966537659959,0.03870475808353657,0.0
AI channel,15,10,0.13679910588565625,0.10917645991315661,0.027622645972499638,0.35
AI channel,16,29,0.04398123278439914,0.02058514515964549,0.023396087624753648,0.13793103448275862
AI channel,17,5,0.008641279277054714,0.023319662841259525,-0.014678383564204811,0.15
AI channel,18,22,0.018747615951753338,0.011523151711978263,0.007224464239775075,0.06818181818181818
AI channel,19,5,0.0867637046820322,0.08898997386744395,-0.0022262691854117445,0.05
AI channel,20,21,0.03296107067872356,0.010645786288872916,0.022315284389850643,0.13095238095238096
AI channel,21,3,0.10667991890774253,0.12694399311688692,-0.02026407420914439,0.08333333333333333
AI channel,22,14,0.12595546000985852,0.14169176421297575,-0.015736304203117224,0.125
AI channel,23,11,0.13487825170904577,0.12579251085106058,0.009085740857985192,0.06818181818181818
AI channel,24,8,0.04211313060582411,0.06725603032891558,-0.025142899723091472,0.21875
AI channel,25,2,0.07777717427730713,0.08632976796375236,-0.008552593686445231,0.125
AI channel,26,4,0.1873872381406676,0.18026235793024692,0.007124880210420681,0.3125
AI channel,27,7,0.031196475601294682,0.015299342594338627,0.015897133006956055,0.17857142857142858
AI channel,28,12,0.04258634165049424,0.06161767383010275,-0.019031332179608507,0.0625
AI channel,29,2,0.41158810369791765,0.4387363932520611,-0.027148289554143445,0.25
AI channel,30,2,0.3853832027774303,0.3463257273130822,0.039057475464348124,0.125
Self channel,1,2,0.10405992104116568,0.011191059616153742,0.09286886142501194,0.125
Self channel,2,2,0.008276894660468992,0.09398023369681097,-0.08570333903634197,0.0
Self channel,3,17,0.03137158603694923,0.07784478779635484,-0.046473201759405613,0.08823529411764706
Self channel,4,1,0.011176267207775425,0.09850200995105007,-0.08732574274327465,0.25
Self channel,5,32,0.11758004684034606,0.008781861143495773,0.10879818569685029,0.1640625
Self channel,7,8,0.010642467861438132,0.09447728150689982,-0.08383481364546169,0.125
Self channel,8,41,0.09823319057385116,0.005789132389513285,0.09244405818433787,0.17682926829268292
Self channel,9,6,0.2263611079299933,0.1196293631440708,0.10673174478592251,0.16666666666666666
Self channel,11,4,0.10720996909751213,0.02754551794512161,0.07966445115239051,0.0
Self channel,12,3,0.06350406413653342,0.01094161004691696,0.05256245408961646,0.0
Self channel,13,11,0.04721985094007902,0.03788530768843512,0.0093345432516439,0.11363636363636363
Self channel,14,3,0.14190372895467152,0.044158783671844226,0.09774494528282729,0.08333333333333333
Self channel,15,10,0.22585861766795368,0.14178001447786526,0.08407860319008842,0.225
Self channel,16,29,0.051132631445783394,0.03474977585099759,0.016382855594785806,0.10344827586206896
Self channel,17,5,0.1296296793746472,0.023088072375472724,0.10654160699917448,0.1
Self channel,18,22,0.10205797035822095,0.013264193159761128,0.08879377719845982,0.1590909090909091
Self channel,19,5,0.1397790894205052,0.06953727344543592,0.07024181597506929,0.05
Self channel,20,21,0.12091932155050877,0.0358905509711378,0.08502877057937097,0.16666666666666666
Self channel,21,3,0.12229993650000942,0.03623154696645681,0.08606838953355261,0.25
Self channel,22,14,0.036724762253827925,0.10283770914057688,-0.06611294688674896,0.16071428571428573
Self channel,23,11,0.10713087630701379,0.04229687865753429,0.0648339976494795,0.045454545454545456
Self channel,24,8,0.05592859484753765,0.1244969762487822,-0.06856838140124455,0.09375
Self channel,25,2,0.10587947711220125,0.17467774623619237,-0.06879826912399112,0.25
Self channel,26,4,0.17261437623672493,0.10676314158126343,0.0658512346554615,0.0
Self channel,27,7,0.014409481926438872,0.05525310800969829,-0.04084362608325942,0.03571428571428571
Self channel,28,12,0.006272299179973739,0.058364342497862376,-0.05209204331788864,0.10416666666666667
Self channel,29,2,0.16611863879545297,0.11514654606045116,0.050972092735001806,0.125
Self channel,30,2,0.0522042621024007,0.09112872904749714,-0.038924466945096436,0.125
