model,trial,mean_abs_delta,ci_low,ci_high,align_count
Experiment Data,1,0.25,0.25,0.25,2
Experiment Data,2,0.125,0.0,0.25,2
Experiment Data,3,0.058823529411764705,0.014705882352941176,0.11764705882352941,17
Experiment Data,4,0.0,0.0,0.0,1
Experiment Data,5,0.1640625,0.1171875,0.21875,32
Experiment Data,6,,,,0
Experiment Data,7,0.125,0.03125,0.21875,8
Experiment Data,8,0.10365853658536585,0.054878048780487805,0.16463414634146342,41
Experiment Data,9,0.3333333333333333,0.16666666666666666,0.5416666666666666,6
Experiment Data,10,,,,0
Experiment Data,11,0.1875,0.0,0.375,4
Experiment Data,12,0.0,0.0,0.0,3
Experiment Data,13,0.13636363636363635,0.045454545454545456,0.22727272727272727,11
Experiment Data,14,0.0,0.0,0.0,3
Experiment Data,15,0.35,0.225,0.475,10
Experiment Data,16,0.13793103448275862,0.06896551724137931,0.22413793103448276,29
Experiment Data,17,0.15,0.05,0.25,5
Experiment Data,18,0.06818181818181818,0.011363636363636364,0.13636363636363635,22
Experiment Data,19,0.05,0.0,0.15,5
Experiment Data,20,0.13095238095238096,0.047321428571428584,0.2261904761904762,21
Experiment Data,21,0.08333333333333333,0.0,0.25,3
Experiment Data,22,0.125,0.05357142857142857,0.19642857142857142,14
Experiment Data,23,0.06818181818181818,0.0,0.1590909090909091,11
Experiment Data,24,0.21875,0.09375,0.34375,8
Experiment Data,25,0.125,0.0,0.25,2
Experiment Data,26,0.3125,0.0,0.625,4
Experiment Data,27,0.17857142857142858,0.07053571428571433,0.32142857142857145,7
Experiment Data,28,0.0625,0.0,0.125,12
Experiment Data,29,0.25,0.25,0.25,2
Experiment Data,30,0.125,0.0,0.25,2
Baseline Model,1,0.06394823414300427,0.03026091290499333,0.0976355553810152,2
Baseline Model,2,0.0383765637091798,0.010933735818735135,0.06581939159962447,2
Baseline Model,3,0.04915529810253737,0.034118749244303345,0.06447130433062712,17
Baseline Model,4,0.16927701557618913,0.16927701557618913,0.16927701557618913,1
Baseline Model,5,0.10904781507773997,0.09437512934059344,0.12339440463158187,32
Baseline Model,6,,,,0
