model,condition,target,trial,mse
ORIG-BASE,1,ai,1,0.030139862329029512
ORIG-BASE,1,ai,2,0.025325494744680745
ORIG-BASE,1,ai,3,0.03222619856421902
ORIG-BASE,1,ai,4,0.044148849869288485
ORIG-BASE,1,ai,5,0.037133118520082525
ORIG-BASE,1,ai,6,0.05188451574789758
ORIG-BASE,1,ai,7,0.03826323323169573
ORIG-BASE,1,ai,8,0.03536573026064028
ORIG-BASE,1,ai,9,0.03831653851033127
ORIG-BASE,1,ai,10,0.050974208531283025
ORIG-BASE,1,ai,11,0.030409944729107338
ORIG-BASE,1,ai,12,0.0497987394889263
ORIG-BASE,1,ai,13,0.029767246300641526
ORIG-BASE,1,ai,14,0.029787088867519473
ORIG-BASE,1,ai,15,0.03824072000074378
ORIG-BASE,1,ai,16,0.04799063968862557
ORIG-BASE,1,ai,17,0.05157141226619795
ORIG-BASE,1,ai,18,0.03562820690983552
ORIG-BASE,1,ai,19,0.05352783531087768
ORIG-BASE,1,ai,20,0.03346932489193095
ORIG-BASE,1,ai,21,0.0487588793137611
ORIG-BASE,1,ai,22,0.04933644805944211
ORIG-BASE,1,ai,23,0.05071126470876483
ORIG-BASE,1,ai,24,0.040105765295135376
ORIG-BASE,1,ai,25,0.06063023362008137
ORIG-BASE,1,ai,26,0.04804924642724961
ORIG-BASE,1,ai,27,0.05586652693905802
ORIG-BASE,1,ai,28,0.06818116850965737
ORIG-BASE,1,ai,29,0.06603913598683726
ORIG-BASE,1,ai,30,0.07033640564602471
PHYS FULL,1,ai,1,0.03407041169897671
PHYS FULL,1,ai,2,0.027264780938955915
PHYS FULL,1,ai,3,0.035046325269322776
PHYS FULL,1,ai,4,0.04894582037554522
PHYS FULL,1,ai,5,0.04275320506546388
PHYS FULL,1,ai,6,0.054887849660496736
PHYS FULL,1,ai,7,0.044594468312847066
PHYS FULL,1,ai,8,0.03866611673568228
PHYS FULL,1,ai,9,0.037788060794928614
PHYS FULL,1,ai,10,0.04836189012054357
PHYS FULL,1,ai,11,0.0306374058628964
PHYS FULL,1,ai,12,0.04863669390377257
PHYS FULL,1,ai,13,0.034138143461756455
PHYS FULL,1,ai,14,0.03210600898127065
PHYS FULL,1,ai,15,0.03714538856679337
PHYS FULL,1,ai,16,0.04887774649507449
PHYS FULL,1,ai,17,0.05509896707117266
PHYS FULL,1,ai,18,0.03758331978704984
PHYS FULL,1,ai,19,0.056401717473738545
PHYS FULL,1,ai,20,0.03644725691514748
PHYS FULL,1,ai,21,0.05036581314095482
PHYS FULL,1,ai,22,0.048765425284853024
PHYS FULL,1,ai,23,0.04983939612823846
PHYS FULL,1,ai,24,0.04264719204290555
PHYS FULL,1,ai,25,0.059670971206822514
PHYS FULL,1,ai,26,0.05014072583511017
PHYS FULL,1,ai,27,0.05106256476908336
PHYS FULL,1,ai,28,0.068124413801484
PHYS FULL,1,ai,29,0.06200648967753812
PHYS FULL,1,ai,30,0.06875393426588611
ORIG-BASE,1,self,1,0.029290800301647858
ORIG-BASE,1,self,2,0.022496810777900476
ORIG-BASE,1,self,3,0.04508934262040695
ORIG-BASE,1,self,4,0.028623153395896897
ORIG-BASE,1,self,5,0.0322462847308585
ORIG-BASE,1,self,6,0.03276847488303479
ORIG-BASE,1,self,7,0.03261873190956102
ORIG-BASE,1,self,8,0.045755170025314096
ORIG-BASE,1,self,9,0.038104935909608596
ORIG-BASE,1,self,10,0.036503508241950436
ORIG-BASE,1,self,11,0.0392704159693317
ORIG-BASE,1,self,12,0.04821969263132006
ORIG-BASE,1,self,13,0.040908227398349435
ORIG-BASE,1,self,14,0.04156408254968755
ORIG-BASE,1,self,15,0.033200853377834544
ORIG-BASE,1,self,16,0.034083532926315475
ORIG-BASE,1,self,17,0.036323892769559614
ORIG-BASE,1,self,18,0.045620766296084574
ORIG-BASE,1,self,19,0.04777766737185765
ORIG-BASE,1,self,20,0.04407541493995384
ORIG-BASE,1,self,21,0.040904100042588445
ORIG-BASE,1,self,22,0.04583361240992143
ORIG-BASE,1,self,23,0.040762566901539704
ORIG-BASE,1,self,24,0.048574020415062195
ORIG-BASE,1,self,25,0.0434855314246145
ORIG-BASE,1,self,26,0.046499158562399584
ORIG-BASE,1,self,27,0.06722725737027431
ORIG-BASE,1,self,28,0.0589373379825878
ORIG-BASE,1,self,29,0.058847812976956355
ORIG-BASE,1,self,30,0.057362048904406875
PHYS FULL,1,self,1,0.029562343045498794
PHYS FULL,1,self,2,0.024094309674573617
PHYS FULL,1,self,3,0.04462361419637548
PHYS FULL,1,self,4,0.028729889226771534
PHYS FULL,1,self,5,0.024980577237302355
PHYS FULL,1,self,6,0.034292359592484875
PHYS FULL,1,self,7,0.0324797481954815
PHYS FULL,1,self,8,0.03854354834883534
PHYS FULL,1,self,9,0.03616621236392184
PHYS FULL,1,self,10,0.03660810980226962
PHYS FULL,1,self,11,0.039694365997526765
PHYS FULL,1,self,12,0.046775520528117696
PHYS FULL,1,self,13,0.04180448816910391
PHYS FULL,1,self,14,0.038629632591462994
PHYS FULL,1,self,15,0.03310531780708054
PHYS FULL,1,self,16,0.0338600498246149
PHYS FULL,1,self,17,0.035522315385506174
PHYS FULL,1,self,18,0.04156399541435352
PHYS FULL,1,self,19,0.0489605682950372
PHYS FULL,1,self,20,0.03805725872887599
PHYS FULL,1,self,21,0.04139124844861477
PHYS FULL,1,self,22,0.0505765142073786
PHYS FULL,1,self,23,0.042024490573017166
PHYS FULL,1,self,24,0.048428370262732064
PHYS FULL,1,self,25,0.04583647460337384
PHYS FULL,1,self,26,0.048512875588103084
PHYS FULL,1,self,27,0.06737323261835326
PHYS FULL,1,self,28,0.06134140759845775
PHYS FULL,1,self,29,0.055094998994210796
PHYS FULL,1,self,30,0.05546701183107513
ORIG-BASE,2,ai,1,0.055084094352741995
ORIG-BASE,2,ai,2,0.05617468266349588
ORIG-BASE,2,ai,3,0.05094895917584501
ORIG-BASE,2,ai,4,0.04105667427803997
ORIG-BASE,2,ai,5,0.02923458738300261
ORIG-BASE,2,ai,6,0.044987571835691596
ORIG-BASE,2,ai,7,0.04585403753446453
ORIG-BASE,2,ai,8,0.04926841184598682
ORIG-BASE,2,ai,9,0.052777114895287046
ORIG-BASE,2,ai,10,0.04474433434831798
ORIG-BASE,2,ai,11,0.04086849360927684
ORIG-BASE,2,ai,12,0.05107517092792174
ORIG-BASE,2,ai,13,0.04645568822454634
ORIG-BASE,2,ai,14,0.05691543627373468
ORIG-BASE,2,ai,15,0.05759605958543111
ORIG-BASE,2,ai,16,0.05365289073693181
ORIG-BASE,2,ai,17,0.04841461697041935
ORIG-BASE,2,ai,18,0.03450956407792906
ORIG-BASE,2,ai,19,0.042512183095177604
ORIG-BASE,2,ai,20,0.061440955499481816
ORIG-BASE,2,ai,21,0.06701248590541257
ORIG-BASE,2,ai,22,0.0709454673648758
ORIG-BASE,2,ai,23,0.06527441280921789
ORIG-BASE,2,ai,24,0.058891763333434356
ORIG-BASE,2,ai,25,0.06356037484405407
ORIG-BASE,2,ai,26,0.05784580372276832
ORIG-BASE,2,ai,27,0.05356508340264393
ORIG-BASE,2,ai,28,0.049594907066166406
ORIG-BASE,2,ai,29,0.056874763120615054
ORIG-BASE,2,ai,30,0.06657361452614424
PHYS FULL,2,ai,1,0.05640355832024611
PHYS FULL,2,ai,2,0.05505025391424398
PHYS FULL,2,ai,3,0.05270421495819755
PHYS FULL,2,ai,4,0.04399700664935044
PHYS FULL,2,ai,5,0.029675834005171008
PHYS FULL,2,ai,6,0.045897594585663753
PHYS FULL,2,ai,7,0.04870778150278445
PHYS FULL,2,ai,8,0.04829310115765237
PHYS FULL,2,ai,9,0.05422141055212801
PHYS FULL,2,ai,10,0.0462187669472683
PHYS FULL,2,ai,11,0.04584442268663461
PHYS FULL,2,ai,12,0.05390781057076413
PHYS FULL,2,ai,13,0.04783925157046178
PHYS FULL,2,ai,14,0.05775236493568358
PHYS FULL,2,ai,15,0.052442645415691116
PHYS FULL,2,ai,16,0.05448788346996239
PHYS FULL,2,ai,17,0.046200800699861
PHYS FULL,2,ai,18,0.03731921681981742
PHYS FULL,2,ai,19,0.04824969222089576
PHYS FULL,2,ai,20,0.06789651377094609
PHYS FULL,2,ai,21,0.07447508772506581
PHYS FULL,2,ai,22,0.07716032113632791
PHYS FULL,2,ai,23,0.0648233215062812
PHYS FULL,2,ai,24,0.053693197309337665
PHYS FULL,2,ai,25,0.06861848340701075
PHYS FULL,2,ai,26,0.05946028138113046
PHYS FULL,2,ai,27,0.050548454148619235
PHYS FULL,2,ai,28,0.04887029276411137
PHYS FULL,2,ai,29,0.06021313266868342
PHYS FULL,2,ai,30,0.06338771550184114
ORIG-BASE,2,self,1,0.02834201336539501
ORIG-BASE,2,self,2,0.03796758408450035
ORIG-BASE,2,self,3,0.04521051178527238
ORIG-BASE,2,self,4,0.027008751031845385
ORIG-BASE,2,self,5,0.0438423123743292
ORIG-BASE,2,self,6,0.03126549742738174
ORIG-BASE,2,self,7,0.030954532992658178
ORIG-BASE,2,self,8,0.05018968471315586
ORIG-BASE,2,self,9,0.03970593958625714
ORIG-BASE,2,self,10,0.023641019967345245
ORIG-BASE,2,self,11,0.02473713275538831
ORIG-BASE,2,self,12,0.03812778836460358
ORIG-BASE,2,self,13,0.04006515731500343
ORIG-BASE,2,self,14,0.040900781446537346
ORIG-BASE,2,self,15,0.047350514332083815
ORIG-BASE,2,self,16,0.04608068215940595
ORIG-BASE,2,self,17,0.0439319881604094
ORIG-BASE,2,self,18,0.05424839639422518
ORIG-BASE,2,self,19,0.047504843869692295
ORIG-BASE,2,self,20,0.06815478665384438
ORIG-BASE,2,self,21,0.06305292187359682
ORIG-BASE,2,self,22,0.05945175225164359
ORIG-BASE,2,self,23,0.0514885467590765
ORIG-BASE,2,self,24,0.06112139454715347
ORIG-BASE,2,self,25,0.06527524292096151
ORIG-BASE,2,self,26,0.07072871963175319
ORIG-BASE,2,self,27,0.07008403376460319
ORIG-BASE,2,self,28,0.06550511722111034
ORIG-BASE,2,self,29,0.05696960941814238
ORIG-BASE,2,self,30,0.0613435311352291
PHYS FULL,2,self,1,0.0280312057043996
