model,condition,target,trial,mean_pred
ORIG-BASE,1,ai,0,0.62
ORIG-BASE,1,ai,1,0.6290813051829276
ORIG-BASE,1,ai,2,0.6458225866127998
ORIG-BASE,1,ai,3,0.6717808846774264
ORIG-BASE,1,ai,4,0.5606160872805812
ORIG-BASE,1,ai,5,0.6586309368315716
ORIG-BASE,1,ai,6,0.6396832935235516
ORIG-BASE,1,ai,7,0.6445611913759924
ORIG-BASE,1,ai,8,0.695609597409121
ORIG-BASE,1,ai,9,0.555421597511478
ORIG-BASE,1,ai,10,0.48723183582685137
ORIG-BASE,1,ai,11,0.595749108915746
ORIG-BASE,1,ai,12,0.6236778672373277
ORIG-BASE,1,ai,13,0.6547255934432085
ORIG-BASE,1,ai,14,0.6528130000469679
ORIG-BASE,1,ai,15,0.5310413297589189
ORIG-BASE,1,ai,16,0.641404691311762
ORIG-BASE,1,ai,17,0.639329242661326
ORIG-BASE,1,ai,18,0.6806158907679913
ORIG-BASE,1,ai,19,0.6682302002115253
ORIG-BASE,1,ai,20,0.6760388207144302
ORIG-BASE,1,ai,21,0.562846070543439
ORIG-BASE,1,ai,22,0.4974479277985017
ORIG-BASE,1,ai,23,0.4551939248590536
ORIG-BASE,1,ai,24,0.5501140424378466
ORIG-BASE,1,ai,25,0.46286610231292163
ORIG-BASE,1,ai,26,0.4276921610563249
ORIG-BASE,1,ai,27,0.4355450992165257
ORIG-BASE,1,ai,28,0.3974184871155824
ORIG-BASE,1,ai,29,0.5271811406756282
ORIG-BASE,1,ai,30,0.3963114951369212
PHYS FULL,1,ai,0,0.62
PHYS FULL,1,ai,1,0.6188700591940558
PHYS FULL,1,ai,2,0.6378195305187568
PHYS FULL,1,ai,3,0.674623210950825
PHYS FULL,1,ai,4,0.5586472919415831
PHYS FULL,1,ai,5,0.6642293300116875
PHYS FULL,1,ai,6,0.637224314358561
PHYS FULL,1,ai,7,0.6321043297717257
PHYS FULL,1,ai,8,0.7086176399408921
PHYS FULL,1,ai,9,0.5631994529202486
PHYS FULL,1,ai,10,0.48755398633344993
PHYS FULL,1,ai,11,0.5937511350548068
PHYS FULL,1,ai,12,0.6231458837205696
PHYS FULL,1,ai,13,0.6512060777841125
PHYS FULL,1,ai,14,0.6513595138814056
PHYS FULL,1,ai,15,0.5452623803553694
PHYS FULL,1,ai,16,0.6516618508704368
PHYS FULL,1,ai,17,0.6324567792834878
PHYS FULL,1,ai,18,0.6857030446010529
PHYS FULL,1,ai,19,0.6604075202907648
PHYS FULL,1,ai,20,0.6796917473763128
PHYS FULL,1,ai,21,0.5703832610923102
PHYS FULL,1,ai,22,0.49367514833233306
PHYS FULL,1,ai,23,0.45919333020689734
