channel,trial,align_count,baseline_abs_error,full_abs_error,mean_improvement,empirical_abs_delta,baseline_abs_delta,full_abs_delta
AI,1,2,0.18605193147308613,0.16097170651552645,0.025080224957559683,0.25,0.06394806852691387,0.08902829348447355
AI,2,2,0.02566971037642185,0.05293452374573138,-0.027264813369309526,0.125,0.03837636941795808,0.0645336349365655
AI,3,17,0.10101271257757014,0.10990336786792489,-0.008890655290354746,0.058823529411764705,0.049155192852565116,0.08286724344781779
AI,4,1,0.27150992624537573,0.3099680734943413,-0.03845814724896557,0.0,0.1692762855999682,0.18878478636399254
AI,5,32,0.1287428475051751,0.126858798564205,0.0018840489409700702,0.1640625,0.10904725594266694,0.1279887810435766
AI,6,0,,,,,,
AI,7,8,0.17858776441468205,0.1888838024759756,-0.010296038061293564,0.125,0.07408669489813359,0.0697462767571582
AI,8,41,0.13968620172742718,0.14125515050945744,-0.0015689487820302694,0.10365853658536585,0.054415718510979594,0.0877912007722191
AI,9,6,0.1276299422159831,0.14539305600955862,-0.017763113793575525,0.3333333333333333,0.16117402068751305,0.1870783027124139
AI,10,0,,,,,,
AI,11,4,0.16798128931568893,0.14875852217627822,0.019222767139410707,0.1875,0.1378770973084553,0.14288368683649655
AI,12,3,0.08957249915568033,0.08889387750163402,0.0006786216540463075,0.0,0.053740723697953664,0.070181141300865
AI,13,11,0.10784762330373267,0.09666572849028011,0.011181894813452569,0.13636363636363635,0.06860998365127847,0.08187693295322104
AI,14,3,0.055214375125700044,0.04084811742813499,0.014366257697565055,0.0,0.025404195537680807,0.0502377252044347
AI,15,10,0.19387726751705686,0.17793072327434786,0.015946544242709,0.35,0.1498163455658579,0.17084271465078224
AI,16,29,0.18863598107908439,0.1907354388528847,-0.0020994577738002768,0.13793103448275862,0.12491083360061787,0.1324725843646109
AI,17,5,0.09281556104710395,0.10775725754975345,-0.014941696502649492,0.15,0.05047926677042207,0.057437127216171155
AI,18,22,0.12815443279808852,0.13152299129278164,-0.003368558494693106,0.06818181818181818,0.040305997227301965,0.06686040605456105
AI,19,5,0.20250706840328286,0.21426394403910534,-0.011756875635822483,0.05,0.03728271128425388,0.08185712898186424
AI,20,21,0.13968164410089376,0.14476400439402828,-0.005082360293134495,0.13095238095238096,0.05090872200885141,0.07813600081534393
AI,21,3,0.1066792647728076,0.12694257140630685,-0.02026330663349925,0.08333333333333333,0.18088194145236783,0.19961054960390945
AI,22,14,0.19209409497046087,0.20469869810532032,-0.01260460313485944,0.125,0.12019267388896979,0.1333108194413371
AI,23,11,0.17719299716326187,0.1780883436226236,-0.0008953464593617344,0.06818181818181818,0.061873763861596,0.06983217699152912
AI,24,8,0.23343069983372539,0.2275923255279085,0.005838374305816886,0.21875,0.146971928378441,0.1595253600953827
AI,25,2,0.4238815607524713,0.4170885935973478,0.006792967155123508,0.125,0.12983622507419412,0.13865272291550462
AI,26,4,0.24428952367923074,0.23024268164161296,0.014046842037617788,0.3125,0.11062308102809301,0.13219923020942737
AI,27,7,0.1254968137034119,0.12826471689844307,-0.002767903195031166,0.17857142857142858,0.10626339525298754,0.12350724333808524
AI,28,12,0.1785229846659803,0.18431818390663257,-0.005795199240652286,0.0625,0.05751889473731032,0.06516544751694622
AI,29,2,0.411587982862588,0.4387406690728296,-0.027152686210241528,0.25,0.21013064431130316,0.1915121705011715
AI,30,2,0.38538294868391565,0.3463314418172935,0.039051506866622177,0.125,0.15932970690354004,0.15069917683662692
Self,1,2,0.125,0.125,0.0,0.125,0.020938566356556332,0.13619317535725683
Self,2,2,0.09074267251887275,0.09399358318382578,-0.003250910664953033,0.0,0.03955897092648303,0.09636951315531822
Self,3,17,0.08172814889796778,0.10687054062594352,-0.02514239172797573,0.08823529411764706,0.03179730668306472,0.12088962049680424
Self,4,1,0.011174391496454328,0.09849710615478724,-0.08732271465833291,0.25,0.08838472198118913,0.1817037344576885
Self,5,32,0.14184235043917687,0.11840163539003692,0.023440715049139936,0.1640625,0.06760250937176404,0.13895443782863764
Self,6,0,,,,,,
Self,7,8,0.15577410485367357,0.20125580131150933,-0.04548169645783577,0.125,0.021262704038832868,0.03784060247048143
Self,8,41,0.16577142741377962,0.14757237655900993,0.018199050854769663,0.17682926829268292,0.03588840932434318,0.1234404976623749
Self,9,6,0.23398630014591104,0.17371814053335935,0.06026815961255172,0.16666666666666666,0.056127818318766974,0.06885172564621218
Self,10,0,,,,,,
Self,11,4,0.13826137755632562,0.14103825585952345,-0.0027768783031978522,0.0,0.05211445266482059,0.09665556305834803
Self,12,3,0.16653917731699872,0.13364145918166584,0.032897718135332855,0.0,0.01959531960232989,0.07198419653093759
Self,13,11,0.17051280048764833,0.1805688975484003,-0.01005609706075194,0.11363636363636363,0.024065139488345533,0.09151272118663013
Self,14,3,0.1430249278003307,0.10441361305980197,0.0386113147405287,0.08333333333333333,0.010701085227322882,0.10000644299636752
Self,15,10,0.23404882338560032,0.17135211851557242,0.06269670487002788,0.225,0.06803880439661761,0.11309679527281342
Self,16,29,0.14831985194507913,0.14727646930381455,0.001043382641264611,0.10344827586206896,0.06295000000775103,0.10397760598447646
Self,17,5,0.1412758578712475,0.1378211197768493,0.00345473809439818,0.1,0.0379273603919202,0.05221016952064069
Self,18,22,0.1633772272165045,0.15919586547501766,0.004181361741486781,0.1590909090909091,0.026152267882544957,0.1123398691985603
Self,19,5,0.18061885442591832,0.1506805311705517,0.029938323255366606,0.05,0.05806353478069619,0.04117343226019683
Self,20,21,0.15591372323219715,0.15465790576344546,0.0012558174687516727,0.16666666666666666,0.03592997941062446,0.11810454864686497
Self,21,3,0.12229039682739805,0.06101264331234139,0.061277753515056654,0.25,0.08661203631809956,0.18128030523290053
Self,22,14,0.1959478708550724,0.21444727106621345,-0.018499400211141083,0.16071428571428573,0.063292954017382,0.08602298290467443
Self,23,11,0.17833734611316726,0.14738298930443927,0.03095435680872799,0.045454545454545456,0.032496062389598984,0.06274368723104619
Self,24,8,0.18822092462457135,0.19123896600998513,-0.003018041385413797,0.09375,0.048124286423205785,0.10290691214134437
Self,25,2,0.40493333641649487,0.43351941986160547,-0.0285860834451106,0.25,0.06464444447596895,0.13700041439604094
Self,26,4,0.17261554409033295,0.12726325059206833,0.04535229349826461,0.0,0.0537066369093972,0.06964807689209443
Self,27,7,0.1142014969958102,0.11956027937269505,-0.005358782376884847,0.03571428571428571,0.058723581768437956,0.07418384110606542
Self,28,12,0.18593254294562334,0.200450486507175,-0.014517943561551653,0.10416666666666667,0.011562892304844308,0.06009384648005147
Self,29,2,0.430838479804871,0.4333800133751091,-0.002541533570238119,0.125,0.09527027717502051,0.007614072440690678
Self,30,2,0.13180252587323035,0.14743975214143903,-0.01563722626820868,0.125,0.05338259003900986,0.022461118432473032
