alpha_fast,alpha_slow,omega1,omega2,omega3,omega4,beta,gamma
0.7303408504651787,0.4452393077738034,0.22827243232365174,0.34194311898961594,0.09931330682276336,0.09571986751239608,2.5443139217643604e-24,0.1349518498306267
0.6935514761741504,0.47018250573804327,0.20438618028610428,0.2886344538911109,0.06096212621396083,0.06680467572033812,1.5941495540974532e-24,0.16705335640798633
0.7156092002593041,0.48111113985562054,0.1945748265282559,0.2975735695144792,0.061445179565002984,0.07710556289390037,9.790350897873166e-24,0.19354429475676357
0.7599432142820749,0.5183934607222374,0.18622937827359928,0.2791876904547038,0.06756737987632906,0.09091323704326162,7.140672963928903e-25,0.14767572170266596
0.73892367724667,0.45175650758405256,0.21863555847758026,0.3314106841136999,0.09378287642359588,0.1086152243894078,7.2795506532749975e-25,0.1296575924706848
0.7458856312096673,0.4211786817975728,0.24482842810989355,0.34899355700586987,0.1161992781113621,0.14280771560868263,6.229058902906594e-27,0.14823629721395556
0.8247926718710388,0.5438788352668884,0.19787509421047927,0.2878662998111265,0.07471261892163775,0.11026406777551055,3.501079697018228e-23,0.12452885619881866
0.7280285102825715,0.378820958165285,0.28798865017066166,0.38233989439240035,0.14573534602669797,0.16293811117136084,2.4035555934272927e-27,0.04918167773545159
0.8113326008784795,0.4432584373988744,0.23942206137372085,0.3258174880856055,0.13312029323836375,0.15533576220272274,2.0541648281239655e-20,0.0816946919629305
0.7026379786213406,0.4476049713288688,0.21070900902336592,0.30189380169802127,0.07416002267784072,0.09901487786798402,2.293693759066437e-24,0.09811086430223082
0.8159942991458973,0.47089743573090165,0.22823940378885155,0.3326816046408475,0.12182210277455348,0.1477818181419385,7.637594568590267e-25,0.12123449489720972
0.7429428631256437,0.4518957795377586,0.22760077166804887,0.3167161473952554,0.09602798013011814,0.11973346235077985,1.6361378615253243e-26,0.10431255751208107
0.8041252923270173,0.568335355102278,0.1712011677592785,0.25862609016377225,0.058140724451890335,0.07832658632686094,2.6593618710454745e-23,0.17295834466785812
0.8174682571518543,0.5395538143909383,0.18293546768944693,0.26150560249977467,0.07993800715349421,0.10430275145358264,9.710248524334795e-20,0.09569342952228324
0.7460856068929127,0.46863214826343136,0.2209394707597143,0.3225755595764754,0.09862835083241574,0.10648559303803633,2.023490322114176e-23,0.09822595881538267
0.8080301693923081,0.49056968554864233,0.2290204968179884,0.30479405867348325,0.1018521015527179,0.12935147665289265,1.6329230813901815e-22,0.09742933830744546
0.7263983980020535,0.49986228028918916,0.1947100806834725,0.2739061430235375,0.0476695412698037,0.0905213646289687,7.053546948160473e-31,0.1617112508992773
0.6987752227431627,0.4656371043823882,0.20549272248620631,0.2921980587355065,0.06214077169973015,0.07157807729820242,1.5346155118484064e-23,0.16418901625898405
0.759544625897368,0.5127720846985319,0.18326531859890155,0.28734200208479727,0.05662440975279189,0.09865579591042646,1.9531284436610767e-25,0.15174922088592327
0.7564623441583327,0.5106510845051012,0.19222438643405293,0.2865345578545446,0.05799023114369961,0.07874602777732176,7.202163319479361e-26,0.14119088831384527
0.7407356493933841,0.43748319214728887,0.24365772051080453,0.31973503507318735,0.11412771041773538,0.11911840816964103,2.3518820104582363e-23,0.09165689903815662
0.7453265265417295,0.5266282530580781,0.1753326236459282,0.2563429104493325,0.04416796818696223,0.07451829359186919,2.761766157240802e-23,0.17437028338098526
0.7371910950749514,0.4630019003338432,0.22519644286332288,0.3302971877538263,0.09751098529920975,0.11635856008548462,5.164212006083673e-24,0.1300484131486692
0.7586311814208339,0.47835754502024735,0.2109734071792393,0.31244075668642757,0.09624727905843715,0.11181186768969464,4.8198600434381766e-26,0.07568353383305106
0.7919938647450622,0.4803335418062911,0.22189545090335652,0.31925807395913464,0.08946817744558849,0.11182412147292985,2.172465609651935e-26,0.15772969977417317
0.8339213388369995,0.523542332633452,0.20110537501786238,0.2758020399131465,0.09642695845400219,0.11777902692066217,2.255393081139708e-24,0.09995963840936303
0.735420533357667,0.4716663976762371,0.20609152866772865,0.3322800767204645,0.08501458654080472,0.09839778237379483,4.353488237519149e-21,0.15460218507282436
0.7754816281768322,0.4617251751740151,0.21727466417253563,0.32679998683536476,0.10831385086681489,0.14238385073753532,2.5676104994215524e-30,0.09796249654676661
0.721717633659294,0.4853468672068788,0.19961373689472942,0.2919288339961255,0.059459038236292124,0.08000032367537444,2.150615013481057e-25,0.15258062943660528
0.8404689298330423,0.635728228566036,0.1555905774856708,0.2196084533305261,0.02487916670823243,0.06738397103375197,1.9516549893364908e-25,0.18727363501628547
0.7304293857129847,0.449928755769249,0.22973277116017493,0.32364062400396576,0.08729830774796882,0.11023100432972634,7.323733007135082e-24,0.1065738170742129
0.7745003477011243,0.5067077921054063,0.19525928376914614,0.2976258599748166,0.08740255853115221,0.11133510977712024,1.903965258652004e-21,0.15144964940534927
0.720914875345122,0.4607376458114717,0.22321181358770933,0.3262207677202849,0.06519853564476451,0.1145185080949317,5.702747556492893e-26,0.15867003905030044
0.78167408145979,0.45782406128699565,0.22987959843127193,0.3295305807613548,0.11527649356292356,0.1156346165707061,4.204124393203226e-24,0.06980944948199308
0.7472172859430654,0.4570139873772264,0.2143812864397084,0.3234006353878588,0.0922962006279796,0.1180977967156898,4.737013125414505e-26,0.07852479060505327
0.8186007740544372,0.524970290375961,0.20488921197275947,0.28175280740998554,0.0969913692653724,0.11311944135657309,2.255866704693524e-28,0.1303758493240193
0.7447541397351173,0.4139564727942289,0.26394014022469403,0.33918728681616217,0.1268167123197248,0.13534346607613548,6.11589030619483e-26,0.10600996103102864
0.7083537851096681,0.37917539315433785,0.2817642806328461,0.38277632824113894,0.1311293122633936,0.14370130394545358,1.6937713399285816e-23,0.06913535750813793
