alpha_fast,alpha_small,omega1,omega2,omega3,omega4,beta,gamma
0.2704813964548852,0.437331511332326,0.5846554980197433,0.874147743227445,0.2546899566575823,0.2492057019366871,1.1958265663090018e-19,0.13309005144281652
0.2118618806682103,0.450105947278994,0.6302583139147044,0.8941149739915717,0.1926659740254148,0.21256745031631394,3.74706942358889e-23,0.15987304081199216
0.22123701344871818,0.4581741480533563,0.5935769883676337,0.9038092345702249,0.1873015190499655,0.23948219569492096,6.549695082716822e-24,0.18625071160130016
0.22960721535294235,0.51005603268597,0.5860738936454325,0.8801068244926088,0.21107267496348217,0.2882054061220559,4.227597927038324e-19,0.14629559055725594
0.2710002668152806,0.4427140145463595,0.5642138593968511,0.8507241363376216,0.23956532367670533,0.2826578044439877,6.195451843062264e-20,0.12843893135507875
0.310582455074941,0.4065028482123436,0.5604753886721419,0.7991214730186507,0.2714873214639894,0.33033799846690304,6.953431805746268e-23,0.1413674231839455
0.2649886452649644,0.5321872307219009,0.5817981650146441,0.8433597490597444,0.2172842361288182,0.32712766971107776,6.216292253601867e-19,0.12320790591977382
0.3293187852432654,0.37475490102297937,0.5999621569930106,0.7978078267506057,0.30312965625453586,0.3422716076324054,2.107425511159187e-21,0.049298621048826735
0.34773260942305273,0.43821360131460424,0.5302194898014583,0.714131550035449,0.29102381224125706,0.3447630269407983,7.362720229432278e-16,0.08207263702717484
0.24159651352666314,0.4370816883148925,0.5803589325112768,0.8314854154321858,0.20399534854709186,0.2749443859310605,4.3297318990190636e-16,0.09651937846554694
0.3287327191987687,0.4579232330099398,0.5371002971584381,0.7857635482783373,0.29141427440561374,0.35248088934050165,2.5892271619411345e-22,0.11752267012639557
0.2759773723093671,0.4446672584617787,0.5811661413097602,0.8075703676712066,0.2445770705129076,0.30813187806939585,3.475270608805651e-22,0.10312104035269887
0.2234538326241331,0.5480739696620166,0.5802174828930524,0.8814484950076614,0.1971415497548708,0.2737295275281456,4.1318874578569314e-22,0.1670638496353485
0.26351439919006525,0.5340612296956457,0.5373599836893754,0.7711486182855737,0.23262276867490383,0.3099012443592019,8.336856545045207e-17,0.09594882634468387
0.2626931926383988,0.4543344218058645,0.5934726580036389,0.8617416944445024,0.2679029677195062,0.28955453852897745,3.0880380264928666e-22,0.09576605209539024
0.3010434485073461,0.4873110585972546,0.5844404926421731,0.7667565965313637,0.2560270846769131,0.33502763585816103,6.4453285091383464e-21,0.0974675385801606
0.21669179067206443,0.4842189392909629,0.6219081056320788,0.8756937666747381,0.15622285506191094,0.29231503864764347,1.825237740302324e-27,0.15525624801852342
0.22025174388386098,0.4484913102090645,0.6155337283215363,0.8722655588437491,0.18480514951260038,0.21994954768985625,5.92212574693193e-19,0.15885969051462148
0.23213515588440795,0.5003410280667351,0.564213415998537,0.8870093811788644,0.1701446801434637,0.3071419664398934,1.7500344100865632e-23,0.15106605277332913
0.23233959586831782,0.4916488776464857,0.5910072289789421,0.8785574832100977,0.18003039936960616,0.24571135548670514,2.1313982803873926e-25,0.136402645550673
0.2861664532360609,0.4249368857296093,0.5943545345909697,0.7792592673705444,0.2775803679435602,0.29502875834833053,9.51275227511442e-19,0.0900047482038086
0.20874110605664986,0.5135098335566883,0.5962568879425296,0.8693996479649895,0.1504195151768065,0.25868390248000017,2.942436696428828e-22,0.16973366635032594
0.26027220742725365,0.4533247253587107,0.606058052911981,0.8797512681557664,0.2608141884314486,0.3195833905633439,1.554697263801265e-21,0.1281135372137
0.26535302164482477,0.4703392839606158,0.5708977742966789,0.8433125406358889,0.2591484628929278,0.3069209617768447,5.480923832738829e-18,0.07534936646760206
0.2942256828402393,0.46128410639442063,0.5634922725210744,0.8071012855634695,0.22845091615037408,0.2885384345151758,3.110621821686888e-20,0.15109547238660345
0.29606046180070583,0.5174668351643237,0.5423537191539541,0.7314872659089633,0.25764293392830373,0.32077731605491194,1.3719239859795122e-23,0.09905946221853242
0.24769043099225285,0.4526684948345799,0.5734754665870424,0.927231776254955,0.2372192983375398,0.27823944786179555,1.3368237329826857e-20,0.15025826598487318
0.2969748843669388,0.45708648889215986,0.5380656908460276,0.8090273214332611,0.2663794997560191,0.3538797056868056,1.276233876170554e-26,0.09864706040590891
0.22289611283761182,0.468188429679619,0.6085920950756509,0.8897357586379785,0.18111527054312326,0.24774672621567922,5.00254616889424e-23,0.14863387774452805
0.19383334301470193,0.6230192489746433,0.6390819035355624,0.8954843376591721,0.10170784355119514,0.2801313613198213,4.360776373049179e-25,0.18508243183017126
0.26449786983479967,0.43948489317658385,0.5978637296886331,0.8402322304401927,0.22838576819532133,0.2893848912419741,2.2340540227936406e-20,0.10491679227610844
0.25392068159338177,0.4918861394963115,0.5632048324822247,0.8612879676557917,0.25175684471733834,0.32666444709937725,3.2744532481248074e-20,0.14784791847498208
0.24592887438142103,0.4488678868307192,0.6185634542471592,0.9019872522146195,0.18066007074100213,0.3202548661994405,1.798226537777775e-23,0.1552639519119974
0.3034217286751759,0.4473199159265349,0.5558327335572044,0.7973179792972185,0.27832964875766475,0.28003190410607814,1.0296956898183702e-18,0.06929465673652044
0.27193906430618997,0.4495746657168216,0.5532449765520134,0.8350442478919923,0.2346092580619059,0.3057939758491804,5.143167457997216e-22,0.07942375628280492
0.27948645026514524,0.5156274590642835,0.5716352881417278,0.7801650297750089,0.2690100544126999,0.320844905490695,5.370828548179465e-24,0.1281478523158673
0.3118350380303766,0.3989552916499743,0.5934694677981414,0.7606629040230077,0.2860206586262923,0.30777975104576766,2.0607749619375606e-25,0.10258336733134955
0.3097486761313199,0.3770988305877045,0.6074770628847915,0.8261600781938764,0.2811574678977305,0.3104699739495918,2.7207770495658413e-24,0.06978932932644082
0.25160145923398125,0.4456764378711868,0.5890377273066423,0.9301383777228904,0.21573436219667552,0.23791821834404686,4.7273880690914865e-24,0.14428678190768693
0.24754454683043448,0.5339145145386218,0.5972105027515289,0.7689254115050557,0.26679939393206104,0.28422117823241316,9.999994869313132e-13,0.1509675637973039
0.30098641930138187,0.4210948157964994,0.5625433476554739,0.7775904467323878,0.26523471335195464,0.35120464326089135,1.4560709445025755e-18,0.0775503718195704
0.2452938423218732,0.5424987019184324,0.5299514694595379,0.8998934676447606,0.200300422586629,0.2947944353787383,2.9453151734437687e-26,0.13367657673550992
0.2654394214710348,0.4843012344716255,0.5849581722958849,0.8090900069789647,0.23579672059397533,0.3534491253821324,3.370635699869287e-19,0.13841804341258343
0.2862889097899439,0.38118207113325114,0.5929060494643635,0.8334954580511845,0.29964661535843934,0.3050156524023959,1.3023821950519027e-23,0.090409994611974
0.23034934120095224,0.5246298358048067,0.6272517804210354,0.8513708872320924,0.1926789482855736,0.22491130902146292,1.1404894113521223e-24,0.18741057411212778
0.2884434847420265,0.46577664314899825,0.5557893806734954,0.8065072051870906,0.2305648370754387,0.29391896262936285,5.544193948959813e-19,0.10872953703833238
0.26616272253744216,0.5014713838969257,0.5600891931282653,0.8793543234851396,0.21565587373508938,0.31211148500408603,2.201494189339565e-21,0.12903837102584498
0.226154319063896,0.560478438999768,0.5928443949119433,0.8875508045228326,0.1683861758057595,0.2883960438461726,4.260423450266623e-22,0.16095943080206482
0.2650226580935361,0.4043994508129765,0.6049099952383726,0.8706393702241336,0.2288401482473708,0.28080958875344947,4.478346447719584e-22,0.10737810117289556
0.2810343805233134,0.4127601531705769,0.5850112127607692,0.8440102221761454,0.25383637906887385,0.29019705482431485,1.791256115284691e-21,0.11672932285235871
0.3152845274419069,0.4172198454037978,0.5678015999798899,0.7700968783444758,0.2833100272561646,0.29970059028267476,3.568196327189728e-25,0.10036216523290012
0.27702121213681064,0.5128666971584532,0.5508998251678784,0.7715931392705525,0.23977179966708256,0.2973143089948352,5.10309572822231e-20,0.10178287277590307
0.26880819409898127,0.5002028854696252,0.5820191273912808,0.7794681546354543,0.2082550731456411,0.31860617008222225,1.952325441188938e-17,0.1243250130006789
0.2721913653579985,0.459353330500834,0.5923265762145346,0.807004285748929,0.24304585487766828,0.31807664956324117,9.410487797960455e-19,0.1296034024024545
0.2321850054942282,0.47162183118595363,0.5877629372903868,0.8877748447256042,0.23572327206237223,0.29321999990297853,1.3081353151251812e-16,0.15881818718696653
0.23260173224360797,0.4748559646745582,0.6228410264033993,0.8920818071345678,0.20531976916019157,0.2692215312269389,2.3456767431155714e-23,0.203440514329
0.24406563974328363,0.45376645279236355,0.5963067600137985,0.8998238718743312,0.21353646866828926,0.25411208451845796,3.0381641948220453e-22,0.14928290293861662
0.29042240334801434,0.4788633375128148,0.5620619438657117,0.7527498265271387,0.24857753468379412,0.29525617687715744,4.602061346020454e-26,0.09790344893521548
0.2576135447896469,0.4727678861694085,0.5810963231515021,0.8429006565452204,0.2330258441108047,0.2601101653522867,1.3403582668753065e-19,0.14347355820161203
0.35438514551671124,0.4692589988213146,0.5723795956131736,0.744581372325726,0.307833744345901,0.34554746043276424,3.515686417327136e-24,0.045129365532256195
0.22493312327535656,0.5163038573491575,0.5777833025209084,0.956055652716222,0.15896028922393696,0.2913076958415726,5.923031201640407e-24,0.16570109565137967
0.31785304028783545,0.43902197848874347,0.5870215134282921,0.7295483845534465,0.2906157227334283,0.3167486527707699,1.3967574955905912e-22,0.05753332389843931
0.3152026211379417,0.4840847418615036,0.5361541038620656,0.7388666252980219,0.2360357972458331,0.30387699732855633,7.75600316717251e-21,0.08959737974336289
0.3106016144093539,0.48938414584201534,0.531142169394887,0.7292949457804762,0.25314175042606285,0.3421838884455741,6.2606269641896125e-18,0.11412640416494096
0.30718763584413733,0.3700214662476754,0.5816546296285009,0.8300260545900967,0.2714435192293271,0.3277871857059787,5.1214719248080765e-17,0.06450165053610597
0.2723251024375789,0.43483828936905056,0.5642430174128019,0.8924282121767299,0.19600461581847808,0.29077437064044526,3.72123437476228e-23,0.14027529973929193
0.28095106803970415,0.4550960981055982,0.5772610946696382,0.8199336737664591,0.2378962973141597,0.30362798471539193,3.886608790721167e-17,0.1221707526327087
0.20602739163656006,0.5565231423661818,0.5977429137444525,0.8843259783817685,0.16935205305704049,0.25531455908945405,8.699038932184743e-22,0.22143278438651945
0.3398196433886808,0.4455277103571198,0.521740734951854,0.7584262180151453,0.2700558305324008,0.3545823977487699,6.482814733473625e-20,0.09437441790466192
0.24011080607116367,0.45397861118863314,0.5466163070962378,0.9105284955921187,0.2002833342041799,0.3000134249201906,4.3776004444305673e-23,0.12232028027373891
0.24275277687842906,0.4803914197698864,0.5353761841839103,0.890470106533309,0.21529028509429154,0.3099194051136072,3.533047316467477e-21,0.16772803322970115
0.2617542005375716,0.47120045981275754,0.5818906278400158,0.8250077698219719,0.1965414358551399,0.29938028820346374,7.263168343747163e-21,0.13215032415594302
0.26600638294380324,0.43034638374123035,0.6118418038891695,0.8534882695402576,0.26714692824232605,0.2618957615057323,7.114258949053906e-18,0.0700459231838916
0.3010426467878465,0.4780806069069328,0.5437455552756438,0.7307373359937276,0.2883255938490579,0.3395938127414285,1.4515679153870253e-21,0.09639254456913714
0.26156674676712405,0.44012608710373186,0.576271880429457,0.8109633418316285,0.23840322222807825,0.31322408821610564,2.5629386958626143e-20,0.1270698560424335
0.3213244325885949,0.34574409688830593,0.5897784685563346,0.793598486316098,0.29354891949939566,0.3037408846120413,2.9194299758117967e-21,0.0844333814442637
0.25409783099459443,0.48855933703451615,0.5648731880657866,0.863622884798392,0.2004866858372291,0.274509283278683,1.1596142646082791e-18,0.11024117086084226
0.25154540031695793,0.46263450697539227,0.6126018100584086,0.8845912992091183,0.20336021331740495,0.29611823138212734,5.453553738662132e-23,0.171813796275548
0.22562959189200268,0.5357664095418537,0.6222762948865259,0.9055866439378659,0.17118387307491964,0.3051289985891506,1.6105499224197078e-24,0.12950995299906856
0.2806278732564617,0.4849110325339818,0.5791812301445709,0.8151181173700903,0.22671118689312755,0.31209395271480356,4.787073359947677e-16,0.12263110541650213
0.3033366416087224,0.45985132922582544,0.5658447178305157,0.7853133969296566,0.24504533781189367,0.2900626416001337,1.3502858977938795e-19,0.11356193200567276
0.22466483345865984,0.5578275355235381,0.6101589206100357,0.8276165118478266,0.1717127881687716,0.26441120949848596,2.476316505101369e-24,0.1275155225409616
0.21943368824499696,0.46339827493757957,0.6380492304478409,0.9544597931803459,0.17592194946111697,0.24021036859185016,3.7099202383290345e-24,0.13541373561084738
0.22185200902344662,0.5067145405640359,0.5749947724885818,0.8926215397053769,0.21773361205364752,0.28279657799681535,9.311688902341233e-22,0.15190224650637482
0.28579941918341517,0.4264046662810065,0.6053333337454705,0.816604860309994,0.25104604810283393,0.28480468472558346,1.3434199880237244e-18,0.1487347120152042
0.22950142064060422,0.534158242703992,0.5652922997942673,0.9196482874062473,0.16415593441823556,0.29638169428549016,1.2168956801822695e-23,0.12494187847967252
0.24498316910645807,0.4344041703008973,0.6044820728868293,0.8053986340881274,0.2087956678346793,0.26945141149737933,2.347706108829493e-20,0.09362324707429641
0.24758304927711505,0.4631441351704219,0.593985492504217,0.8828415210256341,0.2243435486865164,0.3250864093898628,1.067669514944251e-23,0.15657154626811465
0.3352203507134206,0.39100770609800994,0.552891181909151,0.7817771256612517,0.2800620166160693,0.34156043450301204,4.747203310966983e-22,0.04522095280198682
0.2954554608085061,0.5140412793923682,0.5841004702358783,0.7786531272886997,0.27738899036752374,0.3178716042882951,6.980552648779545e-22,0.10260092168857797
0.33236018066610884,0.4323462734333756,0.57673231009061,0.7768326838727815,0.320193143970678,0.3185664706331125,3.967207120052385e-22,0.0743741824649161
0.30195099334029013,0.4480244213724702,0.6099366616653945,0.8323193611676724,0.28491223203953886,0.32620538539876265,8.239614597287048e-24,0.08174499945099505
0.28030926661161853,0.3997310774616196,0.6060778199632934,0.8232564335893381,0.28303724287051346,0.28798541454115656,3.716465129127293e-23,0.08494345362005791
0.29335419129193674,0.45009876681284355,0.6132445438011741,0.758363636196607,0.28482803369267334,0.3064599157581219,8.965592355632537e-24,0.10855257698960309
0.25095908879353496,0.5029952381764088,0.6007289418767615,0.8470828204629801,0.20959076213068872,0.26429753639825126,1.1254081589931073e-23,0.144362561098125
0.24559132983535073,0.582766337592969,0.5883114543098933,0.8258722887131152,0.21678770406447442,0.26777056050332243,2.429617136215861e-21,0.11518063734708786
0.27337869695525596,0.3891059186641959,0.5688589661803475,0.8510282242341354,0.22329451852633828,0.3062497547907294,1.7675568677537007e-20,0.1037452449140112
0.23866309380654036,0.4131691671070677,0.5806154728758547,0.8191961224344083,0.2437901503489323,0.2499926161770856,4.5180391061884906e-23,0.12294669141298534
0.2883240340062386,0.5225801649913894,0.5634812149779579,0.7391778708975204,0.2513391219621707,0.33073006060545407,6.823035167162018e-21,0.09996372230569449
0.24446318888317925,0.4576729504730894,0.617414588165615,0.8588374305695281,0.18941230023643282,0.2878965552799599,4.434559529706838e-22,0.1528942367546485
