model,parameter,mean,std,cv,q25,q75,min,max,original
aiconf,alpha_e,0.26774515326821424,0.013433695847558736,0.05017344171710985,0.25955132556489247,0.27661807378863934,0.22679514147387866,0.3004168033009963,0.2701293078989641
aiconf,alpha_a,0.5400030349239517,0.04232553635166074,0.07838018234431478,0.5111132718620368,0.5636757699647734,0.4167868549465861,0.6977729953283711,0.5359071913261889
aiconf,alpha_b,0.010884792897983088,0.010610640406997477,0.9748132471571659,0.0016293268296464374,0.017442664109031406,1.6854494809487344e-14,0.04358848685438187,0.013005273424193999
aiconf,omega1,0.8586729179906982,0.020542923061222053,0.02392403746341536,0.8468670904253082,0.8712426157534481,0.8040662890503125,0.9254200522737162,0.8617588334428832
aiconf,omega2,0.23098150828243663,0.035965745176450785,0.15570833106216544,0.20310267257745293,0.25148011521447133,0.1447443280150311,0.31549994721187935,0.23096828676591039
aiconf,omega3,6.822534477422092e-13,6.439295090064511e-12,0.06395660475961379,6.89800790242944e-20,3.7593739350944435e-15,4.154393104590261e-34,6.441818573137175e-11,2.2894448317311737e-16
aiconf,omega4,0.5498842903241192,0.02458949442202579,0.0447175794075881,0.5312084129147536,0.5679578672187764,0.4713769659765532,0.6041783067419365,0.5463247800027485
aiconf,omega5,0.3513208753215544,0.12355627339199049,0.35169066809290433,0.2633378137674921,0.428448813653284,0.06873199329771675,0.768863232986759,0.35091975070845005
aiconf,omega6,0.5010039044383504,0.14605006276805022,0.2915148194356447,0.4557235820477329,0.5897652343483403,0.09682710664069813,0.7914368260242425,0.5167568564100344
aiconf,gamma,0.3430512677677009,0.03034203196252569,0.08844751442290899,0.3211344218528894,0.36310547567506496,0.263016667787759,0.43127124360866503,0.3361595102132434
aiconf,mse,0.00021347598088026148,3.63180700781612e-05,0.17012711648258133,,,,,
aiconf,r2_adj,0.7384127669158922,0.04966387351730428,0.06725760406067764,,,,,
selfconf,alpha_e,0.2861520168495917,0.04038838076112142,0.14114309307222603,0.2604652034827214,0.3007375545566398,0.2071416586800103,0.4296097495243344,0.28789585552550456
selfconf,alpha_a,0.5478600138859231,0.07816707009341146,0.14267708556554726,0.4953065391017709,0.5868736845574432,0.35410098856574496,0.8406012083547006,0.5304889619210623
selfconf,alpha_b,0.0019084305302773464,0.01513059510504343,7.928291898587138,2.890476506349548e-17,8.458416227929417e-12,2.959335515090872e-35,0.1500479769791009,6.768900829174562e-13
selfconf,omega1,0.5745314707760081,0.0254108681218127,0.044228853265544994,0.5584785169831421,0.5873118316482733,0.5111786047456713,0.6465531781881884,0.573035913327379
selfconf,omega2,0.835809251790921,0.060619585784366596,0.07252801479191795,0.7927430381653329,0.8746666097392044,0.6766793679892001,0.9681744088411165,0.8314480226800978
selfconf,omega3,0.2371899223252062,0.04448976625157755,0.18757022135123233,0.20980882413340327,0.26995325240742946,0.0901094177607755,0.3511356358319446,0.2411085616438479
selfconf,omega4,0.3033888488232244,0.02575955532524688,0.08490607158658489,0.28552524179968947,0.31952066519049593,0.24280742519301576,0.3667591325468839,0.30081307337508595
selfconf,omega5,0.689166191887733,0.07961220206273208,0.11551959888384826,0.6375055056158923,0.7399682781465295,0.48240174988738155,0.8658249913392649,0.6992808802745939
selfconf,omega6,0.19166557793041888,0.07235989137104615,0.3775320123447625,0.15202353671081867,0.22248685530326098,9.613266782045258e-06,0.4030668989291701,0.19125454475208647
selfconf,gamma,0.1266357408983457,0.035466244401593496,0.2800650442125719,0.10643594574541204,0.14582196961805405,0.04108040242543871,0.22496662210620336,0.11355651735891588
selfconf,mse,0.00040725373172813403,6.677937295026505e-05,0.1639748180315323,,,,,
selfconf,r2_adj,0.52936350325616,0.04836483244097133,0.09136412339411144,,,,,
