Model,track,success,nfev,alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma,alpha_fast,alpha_slow,gamma_res
BASELINE-OG,aiconf,True,3,0.3291556004105172,0.35354043851981143,0.043291125212285834,0.8701964050048162,0.251611204556724,0.11688094845892111,0.2922790772696289,0.29903740255560257,,,
BASELINE-OG,selfconf,True,3,0.28614040169420984,0.27510744793908753,0.11784221566861643,0.6229797300364527,0.8333195383767668,0.195385261325935,0.1881755805102117,0.2788532188185682,,,
PHYS-FULL-NO-MOD-NO-ALIGN,aiconf,True,20,,0.07471680002120229,,0.8746077616227184,0.2550108531515792,0.11006816190822509,0.295588126346297,,0.32766184127000936,0.48266042902849343,1e-10
PHYS-FULL-NO-MOD-NO-ALIGN,selfconf,True,138,,0.021896856430811237,,0.3314047799305852,0.4244276962576394,0.1269455577022919,0.13025346492226902,,0.5925534731118932,0.29181761150564794,0.1
PHYS-FULL+MOD,aiconf,True,114,,0.07265534356578668,,0.9670120400134196,0.18472884981101087,0.08030494213646758,0.31907660812746375,,0.3302034154298709,0.4620633793627103,1e-10
PHYS-FULL+MOD,selfconf,True,124,,0.02454413770742225,,0.309342605178529,0.4549415001599067,0.13129071044249316,0.11541479704867375,,0.5615290070022916,0.28423479378184663,0.1
PHYS-FULL+ALIGN,aiconf,True,11,,0.07467921564752882,,0.8706349036013846,0.25420967027725677,0.11123915241569035,0.2954806749546206,,0.32851318756151093,0.4840575451814058,0.02984340764809066
PHYS-FULL+ALIGN,selfconf,True,11,,0.022417527364157905,,0.30189936231937936,0.40584449079817375,0.13448385381324537,0.13506728726208828,,0.6563124646952535,0.32574451804370763,0.5247678520513892
PHYS-FULL-DETAILED,aiconf,True,11,,0.07256154474839473,,0.9687907095186384,0.1843345334092232,0.07883984171972146,0.31894694002518836,,0.32927351425155404,0.46299803768902476,6.969352310770342e-31
PHYS-FULL-DETAILED,selfconf,True,10,,0.025267664303604075,,0.27420521469692316,0.4318801057681201,0.13886828884910213,0.12155834609803139,,0.6328382230684483,0.3239467496998953,0.6613335634978464
