participant,condition,condition_row,available_detailed_trials
1,1,0,30
3,1,1,30
5,1,2,30
7,1,3,30
9,1,4,30
11,1,5,30
13,1,6,30
15,1,7,30
17,1,8,30
19,1,9,30
21,1,10,30
23,1,11,30
25,1,12,30
27,1,13,30
29,1,14,30
31,1,15,30
33,1,16,30
35,1,17,30
37,1,18,30
39,1,19,30
41,1,20,30
43,1,21,30
45,1,22,30
47,1,23,30
49,1,24,30
51,1,25,30
53,1,26,30
55,1,27,30
57,1,28,30
59,1,29,30
61,1,30,30
63,1,31,30
65,1,32,30
67,1,33,30
69,1,34,30
71,1,35,30
73,1,36,30
75,1,37,30
77,1,38,30
79,1,39,30
81,1,40,30
83,1,41,30
85,1,42,30
87,1,43,30
89,1,44,30
91,1,45,30
93,1,46,30
95,1,47,30
97,1,48,30
99,1,49,30
2,2,0,30
4,2,1,30
6,2,2,30
8,2,3,30
10,2,4,30
12,2,5,30
14,2,6,30
16,2,7,30
18,2,8,30
20,2,9,30
22,2,10,30
24,2,11,30
26,2,12,30
28,2,13,30
30,2,14,30
32,2,15,30
34,2,16,30
36,2,17,30
38,2,18,30
40,2,19,30
42,2,20,30
44,2,21,30
46,2,22,30
48,2,23,30
50,2,24,30
52,2,25,30
54,2,26,30
56,2,27,30
58,2,28,30
60,2,29,30
62,2,30,30
64,2,31,30
66,2,32,30
68,2,33,30
70,2,34,30
72,2,35,30
74,2,36,30
76,2,37,30
78,2,38,30
80,2,39,30
82,2,40,30
84,2,41,30
86,2,42,30
88,2,43,30
90,2,44,30
92,2,45,30
94,2,46,30
96,2,47,30
98,2,48,30
100,2,49,30
