Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2,iteration
ORIG-BASE,0.0017482982837930118,0.7724159008627969,0.7550997194067053,0.0008022049443781331,0.7680953335197969,0.7504504132441292,0.0012752516140855726,0.7702556171912969,0.7527750663254172,1
PHYS-BASE,0.0017482982837930118,0.7724159008627969,0.7550997194067053,0.0008022049443781331,0.7680953335197969,0.7504504132441292,0.0012752516140855726,0.7702556171912969,0.7527750663254172,1
MOD,0.0014880851661177397,0.8062890496948878,0.791550173041238,0.0007382628251815271,0.7865799812775108,0.770341501592104,0.0011131739956496333,0.7964345154861994,0.780945837316671,1
MOD+A,0.0014880877065143036,0.8062887189996805,0.7915498171844388,0.0007382630539458876,0.7865799151453795,0.7703414304281802,0.0011131753802300956,0.79643431707253,0.7809456238063095,1
MOD+A+ASYM,0.0014880877065143036,0.8062887189996805,0.7915498171844388,0.0006907228936930077,0.800323017933665,0.7851302040807917,0.0010894053001036556,0.8033058684666727,0.7883400106326153,1
MOD+A+ALIGN,0.0014880729284230372,0.8062906427323862,0.7915518872881112,0.0005969292919667399,0.8274372536146337,0.8143074794331385,0.0010425011101948885,0.8168639481735099,0.8029296833606249,1
PHYS-FULL,0.0014880729284230372,0.8062906427323862,0.7915518872881112,0.0005901940012687823,0.8293843188302039,0.8164026909151108,0.0010391334648459098,0.817837480781295,0.803977289101611,1
ORIG-BASE,0.0020383129005495165,0.7389487448274396,0.7190861493251796,0.0009896150668666376,0.728685462045654,0.7080419645926059,0.001513963983708077,0.7338171034365468,0.7135640569588928,2
PHYS-BASE,0.0020383129005495165,0.7389487448274396,0.7190861493251796,0.0009896150668666376,0.728685462045654,0.7080419645926059,0.001513963983708077,0.7338171034365468,0.7135640569588928,2
MOD,0.0013229598584656515,0.8305655959385508,0.8176738478034407,0.0008603397381776907,0.764127804474,0.7461810069883261,0.001091649798321671,0.7973467002062754,0.7819274273958834,2
MOD+A,0.0013229393991366631,0.8305682162102035,0.8176766674435885,0.0008603314516638886,0.7641300763186178,0.7461834516906867,0.0010916354254002759,0.7973491462644107,0.7819300595671376,2
MOD+A+ASYM,0.0013229393991366631,0.8305682162102035,0.8176766674435885,0.0007200623738963861,0.8025864835601426,0.7875658899179796,0.0010215008865165245,0.816577349885173,0.802621278680784,2
