iteration,Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2
1,BASELINE-OG,0.0017483261156864326,0.7724122778560993,0.7550958207364548,0.0008022317555702409,0.7680875828313883,0.7504420728294288,0.0012752789356283367,0.7702499303437438,0.7527689467829417
1,PHYS-FULL-NO-MOD-NO-ALIGN,0.0017274395095283309,0.7751311842867642,0.7580216004824962,0.0007454488812350362,0.7845026069804863,0.7681060662072625,0.0012364441953816837,0.7798168956336253,0.7630638333448794
1,PHYS-FULL+MOD,0.0014743974478966966,0.8080708434822852,0.7934675380950678,0.0006901169843220968,0.8004981766777778,0.7853186901206521,0.0010822572161093968,0.8042845100800315,0.78939311410786
1,PHYS-FULL+ALIGN,0.001726055228965371,0.7753113825102567,0.7582155094403848,0.0006833995885903183,0.8024400687437775,0.7874083348438475,0.0012047274087778445,0.7888757256270171,0.7728119221421161
1,PHYS-FULL-DETAILED,0.0014727969429175825,0.8082791886412395,0.7936917356030729,0.0005907626155629933,0.8292199414984772,0.8162258066124918,0.0010317797792402878,0.8187495650698584,0.8049587711077824
2,BASELINE-OG,0.002038324867166066,0.7389472122363101,0.7190845001238555,0.0009896183798700003,0.7286845537470572,0.7080409871843334,0.0015139716235180332,0.7338158829916837,0.7135627436540944
2,PHYS-FULL-NO-MOD-NO-ALIGN,0.001972517078573534,0.7473753617159997,0.7281539218465649,0.0008346499218199169,0.7711709679105776,0.753760063295078,0.0014035835001967255,0.7592731648132887,0.7409569925708215
2,PHYS-FULL+MOD,0.0013129310147195596,0.8318500122061125,0.8190559913957082,0.0007197086967559509,0.80268344828224,0.7876702323906715,0.0010163198557377553,0.8172667302441763,0.8033631118931899
2,PHYS-FULL+ALIGN,0.0019434047261547196,0.7511038452760599,0.7321660943731514,0.0006572523370623578,0.819806589329628,0.8060962211264475,0.0013003285316085388,0.785455217302844,0.7691311577497995
2,PHYS-FULL-DETAILED,0.0013131942444665973,0.831816299788434,0.8190197139027714,0.0005172709674344788,0.8581841180217236,0.8473937791755504,0.000915232605950538,0.8450002089050788,0.8332067465391608
3,BASELINE-OG,0.001737567757561522,0.7607143792652471,0.7425078646441247,0.0009047706606440383,0.7185380551525237,0.6971224723923897,0.00132116920910278,0.7396262172088854,0.7198151685182572
3,PHYS-FULL-NO-MOD-NO-ALIGN,0.0015962191144147458,0.7801799210653884,0.7634544802768852,0.0008514768156468609,0.7351170512603639,0.7149629138562612,0.0012238479650308032,0.7576484861628761,0.7392086970665732
3,PHYS-FULL+MOD,0.0013163100138695186,0.8187270353185139,0.8049345271362268,0.0008463741508234147,0.7367044214388903,0.716671062200545,0.0010813420823464668,0.7777157283787021,0.760802794668386
3,PHYS-FULL+ALIGN,0.0015962255371996443,0.7801790365645885,0.7634535284771116,0.0007018070060212632,0.7816773096049323,0.7650658005531337,0.0011490162716104538,0.7809281730847604,0.7642596645151226
3,PHYS-FULL-DETAILED,0.0013116556055817747,0.8193680077188354,0.8056242691757034,0.0006221846486852233,0.8064467506621722,0.7917198729951636,0.0009669201271334991,0.8129073791905038,0.7986720710854335
4,BASELINE-OG,0.002064486517773886,0.7341357701106124,0.7139069700103329,0.0007960722246050562,0.7643343498217171,0.7464032677429348,0.001430279371189471,0.7492350599661648,0.7301551188766338
4,PHYS-FULL-NO-MOD-NO-ALIGN,0.0019311970286474385,0.7513007683190599,0.7323780006911623,0.0007907323252013419,0.7659151496863115,0.748104345858096,0.0013609646769243903,0.7586079590026857,0.7402411732746292
4,PHYS-FULL+MOD,0.0013243868771540264,0.8294456785555376,0.816468719315198,0.0007576940176396125,0.7756956620464655,0.7586290276369574,0.0010410404473968195,0.8025706703010016,0.7875488734760777
4,PHYS-FULL+ALIGN,0.0019127363530417377,0.7536781310486745,0.7349362497154215,0.0006868169522775818,0.7966777905204973,0.7812076224079264,0.0012997766526596597,0.7751779607845859,0.7580719360616739
4,PHYS-FULL-DETAILED,0.0013244029674862531,0.8294436064452335,0.8164664895443273,0.0006261271414692989,0.814644129856638,0.800540965823991,0.000975265054477776,0.8220438681509358,0.8085037276841591
5,BASELINE-OG,0.001812486384428017,0.7154811423271208,0.6938329683737495,0.0009587678540138973,0.7254961464291505,0.7046099836574555,0.0013856271192209573,0.7204886443781356,0.6992214760156026
5,PHYS-FULL-NO-MOD-NO-ALIGN,0.0016793409051131748,0.7363819336403321,0.7163240372868791,0.0007832874230753185,0.7757377709446664,0.7586743404730649,0.0012313141640942467,0.7560598522924993,0.737499188879972
