sample,quadrant,n,share_of_sample,n_participants,positive_feedback_rate,condition2_rate,align_rate,accept_ai_rate,reject_ai_rate,modify_rate,ai_before_mean,self_before_mean,gap_self_minus_ai_before_mean,delta_ai_mean,delta_self_mean,team_score_mean,individual_score_mean
all_trials,AI_up_self_up,190,0.06333333333333334,71,0.7947368421052632,0.4421052631578947,0.12105263157894737,0.5421052631578948,0.23157894736842105,0.22631578947368422,0.2881578947368421,0.2986842105263158,0.010526315789473684,0.35657894736842105,0.33421052631578946,-30.842105263157894,-46.89473684210526
all_trials,AI_down_self_down,221,0.07366666666666667,78,0.07239819004524888,0.4253393665158371,0.03619909502262444,0.3936651583710407,0.334841628959276,0.27149321266968324,0.6199095022624435,0.5961538461538461,-0.023755656108597284,-0.3416289592760181,-0.3201357466063348,-31.085972850678733,-46.334841628959275
all_trials,AI_up_self_down,139,0.04633333333333333,51,0.2014388489208633,0.5323741007194245,0.0,0.26618705035971224,0.6115107913669064,0.1223021582733813,0.20503597122302158,0.6528776978417267,0.447841726618705,0.33992805755395683,-0.34172661870503596,-28.345323741007196,-44.460431654676256
all_trials,AI_down_self_up,129,0.043,51,0.3875968992248062,0.5736434108527132,0.023255813953488372,0.4806201550387597,0.4186046511627907,0.10077519379844961,0.562015503875969,0.27906976744186046,-0.28294573643410853,-0.374031007751938,0.3643410852713178,-28.992248062015506,-43.48837209302326
all_trials,flat_or_mixed_zero,2321,0.7736666666666666,100,0.37096079276174065,0.5058164584230935,0.04179233089185696,0.37268418785006463,0.41706161137440756,0.21025420077552778,0.41953899181387333,0.41156828953037483,-0.007970702283498492,-0.003877638948728996,-0.003015941404566997,-31.533821628608358,-46.902197328737614
modify_trials,AI_up_self_up,43,0.06924315619967794,32,0.6744186046511628,0.4418604651162791,0.023255813953488372,0.0,0.0,1.0,0.28488372093023256,0.3081395348837209,0.023255813953488372,0.3546511627906977,0.313953488372093,-33.95348837209303,-47.2093023255814
modify_trials,AI_down_self_down,60,0.0966183574879227,40,0.06666666666666667,0.26666666666666666,0.016666666666666666,0.0,0.0,1.0,0.6583333333333333,0.6416666666666667,-0.016666666666666666,-0.3416666666666667,-0.32916666666666666,-29.333333333333332,-43.5
modify_trials,AI_up_self_down,17,0.027375201288244767,14,0.11764705882352941,0.4117647058823529,0.0,0.0,0.0,1.0,0.23529411764705882,0.6911764705882353,0.45588235294117646,0.35294117647058826,-0.3382352941176471,-18.823529411764707,-43.529411764705884
modify_trials,AI_down_self_up,13,0.020933977455716585,10,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0,1.0,0.5576923076923077,0.28846153846153844,-0.2692307692307692,-0.38461538461538464,0.38461538461538464,-29.23076923076923,-42.30769230769231
modify_trials,flat_or_mixed_zero,488,0.785829307568438,95,0.32991803278688525,0.48770491803278687,0.012295081967213115,0.0,0.0,1.0,0.4103483606557377,0.42674180327868855,0.01639344262295082,-0.009221311475409836,-0.0030737704918032786,-31.25,-43.64754098360656
