participant,condition,condition_row,trial,action,align,positive_feedback,ai_before,ai_after,self_before,self_after,delta_ai,delta_self,delta_gap_self_minus_ai,quadrant,modify_outcome_label,modify_agency_label,modify_coupling_label,individual_score,team_score
1,1,0,1,accept_ai,0.0,1,1.0,0.75,0.75,0.75,-0.25,0.0,0.25,flat_or_mixed_zero,,,,-60.0,-20.0
1,1,0,2,reject_ai,0.0,0,0.75,0.75,0.75,0.5,0.0,-0.25,-0.25,flat_or_mixed_zero,,,,-60.0,-20.0
1,1,0,3,reject_ai,0.0,0,0.75,0.75,0.5,0.5,0.0,0.0,0.0,flat_or_mixed_zero,,,,-60.0,-20.0
1,1,0,4,accept_ai,0.0,0,0.75,0.75,0.5,0.75,0.0,0.25,0.25,flat_or_mixed_zero,,,,-60.0,-20.0
1,1,0,5,reject_ai,0.0,1,0.75,0.5,0.75,0.75,-0.25,0.0,0.25,flat_or_mixed_zero,,,,-60.0,-20.0
1,1,0,6,reject_ai,0.0,0,0.5,0.75,0.75,0.5,0.25,-0.25,-0.5,AI_up_self_down,,,,-60.0,-20.0
1,1,0,7,accept_ai,0.0,1,0.75,1.0,0.5,0.75,0.25,0.25,0.0,AI_up_self_up,,,,-60.0,-20.0
1,1,0,8,accept_ai,1.0,1,1.0,0.75,0.75,0.75,-0.25,0.0,0.25,flat_or_mixed_zero,,,,-60.0,-20.0
1,1,0,9,accept_ai,0.0,1,0.75,1.0,0.75,0.5,0.25,-0.25,-0.5,AI_up_self_down,,,,-60.0,-20.0
1,1,0,10,accept_ai,0.0,0,1.0,0.5,0.5,0.75,-0.5,0.25,0.75,AI_down_self_up,,,,-60.0,-20.0
1,1,0,11,reject_ai,0.0,0,0.5,0.75,0.75,0.25,0.25,-0.5,-0.75,AI_up_self_down,,,,-60.0,-20.0
1,1,0,12,reject_ai,0.0,0,0.75,0.5,0.25,0.25,-0.25,0.0,0.25,flat_or_mixed_zero,,,,-60.0,-20.0
